head	relation	tail
head	relation	tail
3	has_genre	Animation
20	has_genre	Sport
7	has_rating	5.5
18	has_genre	Short
13	has_genre	Short
18	has_rating	5.3
head	relation	tail
14	has_rating	7.1
5	has_rating	6.2
13	has_genre	Documentary
head	relation	tail
12	has_genre	Action
12	has_genre	Short
16	has_genre	Short
24	has_rating	4.5
2	has_rating	6.1
15	has_genre	Animation
12	has_rating	7.4
17	has_rating	4.6
22	has_genre	Documentary
head	relation	tail
11	has_rating	5.2
2	has_genre	Animation
3	has_rating	6.5
21	has_genre	Short
15	has_genre	Short
11	has_genre	Documentary
9	has_genre	Romance
17	has_genre	Documentary
21	has_rating	5.7
17	has_genre	Short
5	has_genre	Comedy
3	has_genre	Short
10	has_genre	Documentary
12	has_genre	Documentary
25	has_genre	Sport
20	has_genre	Short
head	relation	tail
head	relation	tail
16	has_genre	Documentary
11	has_genre	Short
25	has_genre	News
3	has_genre	Comedy
23	has_genre	Documentary
head	relation	tail
19	has_genre	Comedy
head	relation	tail
24	has_genre	Short
3	has_genre	Romance
4	has_genre	Short
23	has_genre	Short
7	has_genre	Short
4	has_genre	Animation
6	has_rating	5.3
head	relation	tail
19	has_genre	Short
head	relation	tail
14	has_genre	Comedy
4	has_rating	6.2
head	relation	tail
head	relation	tail
10	has_genre	Short
5	has_genre	Short
head	relation	tail
8	has_genre	Documentary
25	has_rating	4.2
22	has_rating	5.1
13	has_rating	5.7
head	relation	tail
8	has_genre	Short
head	relation	tail
head	relation	tail
1	has_genre	Documentary
8	has_rating	5.4
head	relation	tail
head	relation	tail
2	has_genre	Short
head	relation	tail
1	has_genre	Short
21	has_genre	Documentary
15	has_rating	6.1
25	has_genre	Short
head	relation	tail
20	has_rating	5.0
7	has_genre	Sport
head	relation	tail
9	has_rating	5.9
head	relation	tail
6	has_genre	Short
23	has_rating	5.7
head	relation	tail
head	relation	tail
1	has_rating	5.6
14	has_genre	Short
19	has_rating	5.3
24	has_genre	News
16	has_rating	5.9
22	has_genre	Short
10	has_rating	6.9
20	has_genre	Documentary
