head,relation,tail
1,directed_by,[<Person id:0005690[http] name:_William K.L. Dickson_>]
2,directed_by,[<Person id:0721526[http] name:_Émile Reynaud_>]
3,directed_by,[<Person id:0721526[http] name:_Émile Reynaud_>]
4,directed_by,[<Person id:0721526[http] name:_Émile Reynaud_>]
5,directed_by,[<Person id:0005690[http] name:_William K.L. Dickson_>]
6,directed_by,[<Person id:0005690[http] name:_William K.L. Dickson_>]
7,directed_by,"[<Person id:0005690[http] name:_William K.L. Dickson_>, <Person id:0374658[http] name:_William Heise_>]"
8,directed_by,[<Person id:0005690[http] name:_William K.L. Dickson_>]
9,directed_by,[<Person id:0085156[http] name:_Alexander Black_>]
10,directed_by,[<Person id:0525910[http] name:_Louis Lumière_>]
11,directed_by,[<Person id:0804434[http] name:_Max Skladanowsky_>]
12,directed_by,"[<Person id:0525908[http] name:_Auguste Lumière_>, <Person id:0525910[http] name:_Louis Lumière_>]"
13,directed_by,[<Person id:0525910[http] name:_Louis Lumière_>]
14,directed_by,"[<Person id:0349785[http] name:_Alice Guy_>, <Person id:0525910[http] name:_Louis Lumière_>]"
15,directed_by,[<Person id:0721526[http] name:_Émile Reynaud_>]
16,directed_by,[<Person id:0525910[http] name:_Louis Lumière_>]
17,directed_by,"[<Person id:1587194[http] name:_Emil Skladanowsky_>, <Person id:0804434[http] name:_Max Skladanowsky_>]"
18,directed_by,[<Person id:0804434[http] name:_Max Skladanowsky_>]
19,directed_by,[<Person id:0932055[http] name:_James Williamson_>]
20,directed_by,[<Person id:0010291[http] name:_Birt Acres_>]
21,directed_by,[<Person id:0525910[http] name:_Louis Lumière_>]
22,directed_by,[<Person id:0525910[http] name:_Louis Lumière_>]
23,directed_by,[<Person id:0525910[http] name:_Louis Lumière_>]
24,directed_by,[<Person id:0010291[http] name:_Birt Acres_>]
25,directed_by,[<Person id:0010291[http] name:_Birt Acres_>]
